GT                             PRED                           PL (per-char)                                               
========================================================================================================================
living                         living                         l i v i n g                                                 
room                           room                           r o o m                                                     
theaters                       theaters                       t h e a t e r s                                             
insurance                      insurance                      i n s u r a n c e                                           
standard                       standard                       s t a n d a r d                                             
center                         center                         c e n t e r                                                 
antique                        antique                        a n t i q u e                                               
lula                           lula                           l u l a                                                     
mall                           mall                           m a l l                                                     
lula                           lula                           l u l a                                                     
subway                         subway                         s u b w a y                                                 
chocolate                      chocolate                      c h o c o l a t e                                           
ghirardelli                    ghirardelli                    g h i r a r d e l l i                                       
master                         master                         m a s t e r                                                 
nails                          nails                          n a i l s                                                   
glenoak                        glenoaks                       g l e n o a k                                               
windsor                        windsor                        w i n d s o r                                               
the                            the                            t h e                                                       
bangkok                        bangkok                        b a n g k o k                                               
inn                            inn                            i n n                                                       
alden                          alden                          a l d e n                                                   
max                            max                            m a x                                                       
towing                         towing                         t o w i n g                                                 
marble                         marble                         m a r b l e                                                 
yard                           yard                           y a r d                                                     
orion                          orion                          o r i o n                                                   
tile                           tile                           t i l e                                                     
astoria                        astoria                        a s t o r i a                                               
best                           best                           b e s t                                                     
inn                            inn                            i n n                                                       
suites                         suites                         s u i t e s                                                 
value                          value                          v a l u e                                                   
payless                        payless                        p a y l e s s                                               
shoe                           shoe                           s h o e                                                     
source                         source                         s o u r c e                                                 
mounts                         mounts                         m o u n t s                                                 
rocky                          rocky                          r o c k y                                                   
goodwill                       goodwill                       g o o d w i l l                                             
goodwill                       gresbull                       g o o_2 d w i_4 l l                                         
amoeba                         amoega                         a m o e b a                                                 
music                          music                          m u s i c                                                   
arcade                         arcade                         a r c a d e                                                 
brown                          brown                          b r o w n                                                   
bella                          bella                          b e l l a                                                   
vista                          vista                          v i s t a                                                   
inc                            inc                            i n c                                                       
house                          house                          h o u s e                                                   
original                       original                       o r i g i n a l                                             
pancake                        pancake                        p a n c a k e                                               
living                         living                         l i v i n g                                                 
lounge                         lounge                         l o u n g e                                                 
room                           room                           r o o m                                                     
camden                         camden                         c a m d e n                                                 
pub                            pub                            p u b                                                       
pub                            pub                            p u b                                                       
camden                         camden                         c a m d e n                                                 
camden                         camden                         c a m d e n                                                 
macy                           macy                           m a c y                                                     
rei                            rei                            r e i                                                       
house                          house                          h o u s e                                                   
yard                           yard                           y a r d                                                     
everyday                       everyday                       e v e r y d a y                                             
music                          music                          m u s i c                                                   
timberline                     timberline                     t i m b e r l i n e                                         
mai                            mai                            m a i                                                       
restaurant                     restaurant                     r e s t a u r a n t                                         
vietnamese                     vietnamese                     v i e t n a m e s e                                         
sol                            sol                            s o l                                                       
shake                          shake                          s h a k e                                                   
steak                          steak                          s t e a k                                                   
genies                         genies                         g e n i e s                                                 
sing                           sing                           s i n g                                                     
yank                           yank                           y a n k                                                     
detroit                        detroit                        d e t r o i t                                               
joes                           joes                           j o e s                                                     
original                       original                       o r i g i n a l                                             
coney                          coney                          c o n e y                                                   
gombei                         gombei                         g o m b e i                                                 
barber                         barber                         b a r b e r                                                 
modern                         modern                         m o d e r n                                                 
department                     department                     d e p a r t m e n t                                         
houston                        houston                        h o u s t o n                                               
